instance,step,fit_kpca,fit_gp,argmax_acq,find_preimages,evaluate_objective,embedding_dim
X-n209-k16.xml,19,20.60564,267.716764,7.115598,28.811934,61.18235,93
X-n209-k16.xml,20,24.504233,394.12095,42.50431,28.797613,61.42401,90
X-n209-k16.xml,21,21.049568,298.028683,6.167827,26.667697,59.108332,88
X-n209-k16.xml,22,23.152283,307.191377,44.216601,28.032049,64.343945,86
X-n209-k16.xml,23,25.671715,285.742704,19.00332,28.272749,61.948491,84
X-n209-k16.xml,24,24.508973,337.55892,46.177791,28.268798,59.473001,82
X-n209-k16.xml,25,23.975596,292.851836,5.015948,30.566408,65.113538,80
X-n209-k16.xml,26,24.056593,324.345137,5.987876,30.172592,58.377988,77
X-n209-k16.xml,27,25.154288,346.153733,18.248758,31.380438,65.119626,75
X-n209-k16.xml,28,29.057999,421.543376,5.371692,30.178955,64.74268000000001,73
X-n209-k16.xml,29,26.713626,310.094973,4.264967,31.733222,57.251481,72
X-n209-k16.xml,30,28.388792,282.943194,3.70526,31.291884,64.807146,69
X-n209-k16.xml,31,27.248067,323.237149,4.909016,31.865523,63.46571,67
X-n209-k16.xml,32,34.364688,327.5055,6.834132,34.26342,61.788172,65
X-n209-k16.xml,33,28.887353,407.108943,2.452276,33.930047,61.971704,63
X-n209-k16.xml,34,29.732072,518.431043,5.457661,31.610433,59.733171,61
X-n209-k16.xml,35,37.794405,473.589672,4.899454,30.867953,67.024016,59
X-n209-k16.xml,36,36.594985,462.238486,2.1915,32.946385,66.808236,57
X-n209-k16.xml,37,29.636082,438.754615,2.082679,34.004532,65.241719,55
X-n209-k16.xml,38,31.241488,441.24775999999997,2.171723,32.762939,76.4988,53
X-n209-k16.xml,39,30.64476,533.122981,2.249642,34.840849,66.006849,52
X-n209-k16.xml,40,33.105641,466.966249,2.022081,32.866798,66.822923,50
X-n209-k16.xml,41,35.881238,451.320105,3.180035,34.662811,65.757503,48
X-n209-k16.xml,42,34.129929,480.345225,2.166425,35.087866,73.325594,47
X-n209-k16.xml,43,34.646759,484.678338,2.147793,36.807494,63.142206,45
X-n209-k16.xml,44,34.776544,513.687527,2.110933,37.749566,62.628023,44
X-n209-k16.xml,45,35.032686,514.06017,1.917589,34.688068,57.495666,42
X-n209-k16.xml,46,37.281951,506.438751,1.956649,34.837591,59.637273,40
X-n209-k16.xml,47,37.892565,481.461519,1.987411,35.122411,64.62275700000001,39
X-n209-k16.xml,48,38.379128,510.41922999999997,1.839082,34.608143,61.66628,37
X-n209-k16.xml,49,38.246686,481.182218,1.935302,36.320285,64.827529,36
X-n209-k16.xml,50,39.985321,607.5279,1.835735,34.361207,64.572006,35
X-n641-k35.xml,1,12.454531,198.624982,109.681398,19.616654,176.319349,129
X-n641-k35.xml,2,12.776569,205.25996,51.259005,20.815717,174.359142,129
X-n641-k35.xml,3,13.287323,259.936043,20.365757,22.997662,173.76477599999998,128
X-n641-k35.xml,4,14.286197,217.285661,7.640511,23.933707,174.636676,127
X-n641-k35.xml,5,14.85607,269.467931,5.758264,23.225853,168.45624,125
X-n641-k35.xml,6,15.484561,254.782346,11.073454,23.071989,171.671317,123
X-n641-k35.xml,7,15.725624,226.362523,7.295444,24.7017,172.669185,122
X-n641-k35.xml,8,16.42518,249.889334,31.859729,24.095784,167.31283100000002,120
X-n641-k35.xml,9,17.075432,203.102264,3.262688,25.46363,171.88636300000002,118
X-n641-k35.xml,10,17.325303,218.630706,7.749776,25.013804,160.996101,116
X-n641-k35.xml,11,18.081656,221.829952,3.689686,25.108602,170.48197199999998,113
X-n641-k35.xml,12,17.972437,236.430751,9.036681,28.022833,170.364193,110
X-n641-k35.xml,13,18.857276,226.443084,34.103179,29.014731,171.631137,108
X-n641-k35.xml,14,19.869128,255.966693,19.721641,28.145518,171.384238,105
X-n641-k35.xml,15,19.884011,258.05102,40.066054,28.304559,169.777129,103
X-n641-k35.xml,16,20.27705,269.432481,3.466247,27.063052,171.105835,100
X-n641-k35.xml,17,20.536653,237.948197,4.576305,28.914153,170.380845,98
X-n641-k35.xml,18,20.528445,339.597766,8.689395,29.146837,168.994922,96
X-n641-k35.xml,19,21.23467,396.256855,20.514423,30.102645,168.907858,94
X-n641-k35.xml,20,21.06892,317.083583,4.518695,29.824696,168.863273,91
X-n641-k35.xml,21,22.128774,278.36972000000003,5.336466,28.137116,173.793353,89
X-n641-k35.xml,22,23.083749,453.131717,6.174626,28.755626,171.511482,86
X-n641-k35.xml,23,23.584588,561.654674,30.120146,30.684587,164.347578,84
X-n641-k35.xml,24,24.7444,466.634685,8.867421,29.796376,177.48574,81
X-n641-k35.xml,25,23.676441,413.160279,7.608389,30.092926,167.429147,79
X-n641-k35.xml,26,24.953407,502.509365,39.263378,31.646148,168.560759,77
X-n641-k35.xml,27,25.303644,471.121968,6.447928,31.522504,175.508483,75
X-n641-k35.xml,28,27.200276,449.807456,6.177722,34.304167,163.571463,72
X-n641-k35.xml,29,26.728481,421.884569,7.753201,42.939327,172.245779,70
X-n641-k35.xml,30,34.291081,445.277622,21.497886,31.246739,163.305755,68
X-n641-k35.xml,31,27.743974,489.620474,16.250839,31.122201,175.90679599999999,65
X-n641-k35.xml,32,28.378678,509.234398,25.01809,52.699189,173.557684,63
X-n641-k35.xml,33,32.987218,490.047381,6.3512,32.666575,171.866791,61
X-n641-k35.xml,34,29.255813,589.661363,2.635612,45.055984,180.298408,59
X-n641-k35.xml,35,31.442332,488.805607,3.651856,37.777712,174.112794,57
X-n641-k35.xml,36,31.995778,530.664293,5.296604,58.805957,169.772585,55
X-n641-k35.xml,37,30.013379,566.313026,2.835558,31.415599,167.303225,53
X-n641-k35.xml,38,31.545291,566.984999,2.625686,43.603483,215.817593,51
X-n641-k35.xml,39,37.802265,343.766438,2.519234,63.201681,213.53422,49
X-n641-k35.xml,40,42.497277,493.984032,2.454524,37.435113,197.626136,47
X-n641-k35.xml,41,33.604838,369.203449,7.159129,37.164162,207.006109,45
X-n641-k35.xml,42,39.420424,397.381764,2.265898,39.276228,181.993225,43
X-n641-k35.xml,43,34.64504,339.293395,2.704422,37.611356,208.119498,41
X-n641-k35.xml,44,38.080293,598.79356,2.33451,65.017555,186.964244,40
X-n641-k35.xml,45,36.766718,558.750109,2.455403,35.339607,201.886096,38
X-n641-k35.xml,46,38.988794,674.748778,2.25866,35.704194,206.003329,36
X-n641-k35.xml,47,39.279014,707.743736,2.3983,34.679016,198.537309,34
X-n641-k35.xml,48,39.379678,637.776879,2.429385,34.734047,182.43075,33
X-n641-k35.xml,49,38.956582,620.557501,2.042601,34.675545,205.256592,31
X-n641-k35.xml,50,39.963576,638.702746,2.228032,74.175692,224.123928,29
